fecha;abrir;max;min;cierre;cierre_ajus;
09-06-2023;1,7832;1,7832;1,7832;1,7832;1,7832;
08-06-2023;1,7583;1,7583;1,7583;1,7583;1,7583;
07-06-2023;1,7922;1,7922;1,7922;1,7922;1,7922;
06-06-2023;1,7955;1,7955;1,7955;1,7955;1,7955;
05-06-2023;1,8016;1,8016;1,8016;1,8016;1,8016;
02-06-2023;1,7862;1,7862;1,7862;1,7862;1,7862;
01-06-2023;1,7735;1,7735;1,7735;1,7735;1,7735;
31-05-2023;1,7764;1,7764;1,7764;1,7764;1,7764;
30-05-2023;1,7610;1,7610;1,7610;1,7610;1,7610;
29-05-2023;1,7646;1,7646;1,7646;1,7646;1,7646;
26-05-2023;1,7532;1,7532;1,7532;1,7532;1,7532;
25-05-2023;1,7128;1,7128;1,7128;1,7128;1,7128;
24-05-2023;1,7316;1,7316;1,7316;1,7316;1,7316;
23-05-2023;1,7572;1,7572;1,7572;1,7572;1,7572;
22-05-2023;1,7371;1,7371;1,7371;1,7371;1,7371;
19-05-2023;1,7399;1,7399;1,7399;1,7399;1,7399;
18-05-2023;1,6990;1,6990;1,6990;1,6990;1,6990;
17-05-2023;1,6665;1,6665;1,6665;1,6665;1,6665;
16-05-2023;1,6636;1,6636;1,6636;1,6636;1,6636;
15-05-2023;1,6696;1,6696;1,6696;1,6696;1,6696;
12-05-2023;1,6779;1,6779;1,6779;1,6779;1,6779;
11-05-2023;1,6727;1,6727;1,6727;1,6727;1,6727;
10-05-2023;1,6797;1,6797;1,6797;1,6797;1,6797;
09-05-2023;1,6895;1,6895;1,6895;1,6895;1,6895;
08-05-2023;1,6828;1,6828;1,6828;1,6828;1,6828;
05-05-2023;1,6641;1,6641;1,6641;1,6641;1,6641;
04-05-2023;1,6723;1,6723;1,6723;1,6723;1,6723;
03-05-2023;1,6836;1,6836;1,6836;1,6836;1,6836;
02-05-2023;1,7019;1,7019;1,7019;1,7019;1,7019;
28-04-2023;1,6937;1,6937;1,6937;1,6937;1,6937;
27-04-2023;1,6573;1,6573;1,6573;1,6573;1,6573;
26-04-2023;1,6502;1,6502;1,6502;1,6502;1,6502;
25-04-2023;1,6713;1,6713;1,6713;1,6713;1,6713;
24-04-2023;1,6744;1,6744;1,6744;1,6744;1,6744;
21-04-2023;1,6688;1,6688;1,6688;1,6688;1,6688;
20-04-2023;1,6884;1,6884;1,6884;1,6884;1,6884;
19-04-2023;1,6918;1,6918;1,6918;1,6918;1,6918;
18-04-2023;1,6897;1,6897;1,6897;1,6897;1,6897;
17-04-2023;1,6869;1,6869;1,6869;1,6869;1,6869;
14-04-2023;1,6908;1,6908;1,6908;1,6908;1,6908;
13-04-2023;1,6666;1,6666;1,6666;1,6666;1,6666;
12-04-2023;1,6873;1,6873;1,6873;1,6873;1,6873;
11-04-2023;1,6906;1,6906;1,6906;1,6906;1,6906;
10-04-2023;1,6947;1,6947;1,6947;1,6947;1,6947;
05-04-2023;1,6953;1,6953;1,6953;1,6953;1,6953;
04-04-2023;1,6947;1,6947;1,6947;1,6947;1,6947;
03-04-2023;1,6949;1,6949;1,6949;1,6949;1,6949;
31-03-2023;1,6702;1,6702;1,6702;1,6702;1,6702;
30-03-2023;1,6571;1,6571;1,6571;1,6571;1,6571;
29-03-2023;1,6413;1,6413;1,6413;1,6413;1,6413;
28-03-2023;1,6562;1,6562;1,6562;1,6562;1,6562;
27-03-2023;1,6658;1,6658;1,6658;1,6658;1,6658;
24-03-2023;1,6760;1,6760;1,6760;1,6760;1,6760;
23-03-2023;1,6523;1,6523;1,6523;1,6523;1,6523;
22-03-2023;1,6835;1,6835;1,6835;1,6835;1,6835;
21-03-2023;1,6715;1,6715;1,6715;1,6715;1,6715;
17-03-2023;1,6672;1,6672;1,6672;1,6672;1,6672;
16-03-2023;1,6511;1,6511;1,6511;1,6511;1,6511;
15-03-2023;1,6212;1,6212;1,6212;1,6212;1,6212;
14-03-2023;1,6148;1,6148;1,6148;1,6148;1,6148;
13-03-2023;1,5632;1,5632;1,5632;1,5632;1,5632;
10-03-2023;1,5533;1,5533;1,5533;1,5533;1,5533;
09-03-2023;1,5752;1,5752;1,5752;1,5752;1,5752;
08-03-2023;1,5879;1,5879;1,5879;1,5879;1,5879;
07-03-2023;1,5998;1,5998;1,5998;1,5998;1,5998;
06-03-2023;1,5995;1,5995;1,5995;1,5995;1,5995;
03-03-2023;1,5796;1,5796;1,5796;1,5796;1,5796;
02-03-2023;1,5618;1,5618;1,5618;1,5618;1,5618;
01-03-2023;1,5870;1,5870;1,5870;1,5870;1,5870;
28-02-2023;1,5919;1,5919;1,5919;1,5919;1,5919;
27-02-2023;1,5832;1,5832;1,5832;1,5832;1,5832;
24-02-2023;1,6157;1,6157;1,6157;1,6157;1,6157;
23-02-2023;1,5969;1,5969;1,5969;1,5969;1,5969;
22-02-2023;1,6012;1,6012;1,6012;1,6012;1,6012;
21-02-2023;1,6333;1,6333;1,6333;1,6333;1,6333;
20-02-2023;1,6303;1,6303;1,6303;1,6303;1,6303;
17-02-2023;1,6508;1,6508;1,6508;1,6508;1,6508;
16-02-2023;1,7009;1,7009;1,7009;1,7009;1,7009;
15-02-2023;1,6871;1,6871;1,6871;1,6871;1,6871;
14-02-2023;1,6824;1,6824;1,6824;1,6824;1,6824;
13-02-2023;1,6639;1,6639;1,6639;1,6639;1,6639;
10-02-2023;1,6933;1,6933;1,6933;1,6933;1,6933;
09-02-2023;1,7198;1,7198;1,7198;1,7198;1,7198;
08-02-2023;1,7431;1,7431;1,7431;1,7431;1,7431;
07-02-2023;1,7281;1,7281;1,7281;1,7281;1,7281;
03-02-2023;1,7295;1,7295;1,7295;1,7295;1,7295;
02-02-2023;1,6815;1,6815;1,6815;1,6815;1,6815;
01-02-2023;1,6676;1,6676;1,6676;1,6676;1,6676;
31-01-2023;1,6367;1,6367;1,6367;1,6367;1,6367;
30-01-2023;1,6689;1,6689;1,6689;1,6689;1,6689;
27-01-2023;1,6543;1,6543;1,6543;1,6543;1,6543;
26-01-2023;1,6273;1,6273;1,6273;1,6273;1,6273;
25-01-2023;1,6274;1,6274;1,6274;1,6274;1,6274;
24-01-2023;1,6288;1,6288;1,6288;1,6288;1,6288;
23-01-2023;1,5983;1,5983;1,5983;1,5983;1,5983;
20-01-2023;1,5636;1,5636;1,5636;1,5636;1,5636;
19-01-2023;1,5645;1,5645;1,5645;1,5645;1,5645;
